Number,Name,Constellation
12,Delta Ceti,Cetus
13,Mu Ceti,Cetus
14,Xi-2 Ceti,Cetus
15,Lambda Ceti,Cetus
1,Alpha Chamaeleontis,Chamaeleon
2,Gamma Chamaeleontis,Chamaeleon
3,Beta Chamaeleontis,Chamaeleon
4,Theta Chamaeleontis,Chamaeleon
5,Epsilon Chamaeleontis,Chamaeleon
6,Delta-1 Chamaeleontis,Chamaeleon
1,Alpha Circini,Circinus
2,Beta Circini,Circinus
3,Gamma Circini,Circinus
1,Phact,Columba
2,Wezn,Columba
3,Ghusn al Zaitun,Columba
4,Epsilon Columbae,Columba
5,Eta Columbae,Columba
6,Gamma Columbae,Columba
7,Kappa Columbae,Columba
8,Lambda Columbae,Columba
9,Xi Columbae,Columba
10,Theta Columbae,Columba
9,Beta Comae Berenices,Coma Berenices
10,Diadem,Coma Berenices
11,Gamma Comae Berenices,Coma Berenices
1,Alfecca Meridiana,Corona Australis
2,Beta Coronae Australis,Corona Australis
3,Gamma Coronae Australis,Corona Australis
4,Delta Coronae Australis,Corona Australis
5,Zeta Coronae Australis,Corona Australis
6,Theta Coronae Australis,Corona Australis
1,Alphecca,Corona Borealis
2,Nusakan,Corona Borealis
3,Gamma Coronae Borealis,Corona Borealis
4,Epsilon Coronae Borealis,Corona Borealis
5,Theta Coronae Borealis,Corona Borealis
6,Delta Coronae Borealis,Corona Borealis
7,Iota Coronae Borealis,Corona Borealis
1,Gienah,Corvus
2,Kraz,Corvus
3,Algorab,Corvus
4,Minkar,Corvus
5,Alchiba,Corvus
1,Labrum,Crater
2,Alkes,Crater
3,Gamma Crateris,Crater
4,Al Sharas,Crater
5,Theta Crateris,Crater
6,Zeta Crateris,Crater
7,Epsilon Crateris,Crater
8,Eta Crateris,Crater
1,Acrux,Crux
2,Mimosa,Crux
3,Gacrux,Crux
4,Decrux,Crux
3,Deneb,Cygnus
4,Sadr,Cygnus
5,Gienah,Cygnus
6,Rukh,Cygnus
7,Albireo,Cygnus
8,Zeta Cygni,Cygnus
9,Omicron-1 Cygni,Cygnus
10,Xi Cygni,Cygnus
11,Iota Cygni,Cygnus
12,Tau Cygni,Cygnus
13,Kappa Cygni,Cygnus
14,Eta Cygni,Cygnus
15,Nu Cygni,Cygnus
16,Omicron-2 Cygni,Cygnus
17,Pennae Caudalis,Cygnus
18,Sigma Cygni,Cygnus
19,Azelfafage,Cygnus
20,Ruchba,Cygnus
1,Rotanev,Delphinus
2,Sualocin,Delphinus
3,Gamma Delphini,Delphinus
4,Deneb Dulfim,Delphinus
5,Delta Delphini,Delphinus
2,Alpha Doradus,Dorado
3,Beta Doradus,Dorado
4,Gamma Doradus,Dorado
5,Delta Doradus,Dorado
6,Zeta Doradus,Dorado
2,Etamin,Draco
3,Aldibain,Draco
4,Rastaban,Draco
5,Altais,Draco
6,Aldhibah,Draco
7,Ed Asich,Draco
8,Batentaban Borealis,Draco
9,Thuban,Draco
10,Grumium,Draco
11,Kappa Draconis,Draco
12,Tyl,Draco
13,Gianfar,Draco
14,Theta Draconis,Draco
15,Phi Draconis,Draco
16,Dsiban,Draco
17,Alsafi,Draco
18,Upsilon Draconis,Draco
19,Kuma,Draco
20,Arrakis,Draco
1,Kitalpha,Equuleus
2,Delta Equulei,Equuleus
3,Gamma Equulei,Equuleus
1,Achernar,Eridanus
2,Cursa,Eridanus
3,Zaurak,Eridanus
4,Acamar,Eridanus
5,Rana,Eridanus
6,Tau-4 Eridani,Eridanus
7,Chi Eridani,Eridanus
8,Sadira,Eridanus
9,Theemim,Eridanus
10,Azha,Eridanus
11,Sceptrum,Eridanus
12,Nu Eridani,Eridanus
13,Mu Eridani,Eridanus
14,Beid,Eridanus
15,Tau-3 Eridani,Eridanus
16,Iota Eridani,Eridanus
17,Tau-6 Eridani,Eridanus
18,Kappa Eridani,Eridanus
19,Tau-5 Eridani,Eridanus
20,Pi Eridani,Eridanus
21,Keid,Eridanus
22,Tau-1 Eridani,Eridanus
23,Upsilon-1 Eridani,Eridanus
24,Tau-9 Eridani,Eridanus
25,Tau-8 Eridani,Eridanus
26,Angetenar,Eridanus
27,Zeta Eridani,Eridanus
1,Dalim,Fornax
2,Beta Fornacis,Fornax
3,Nu Fornacis,Fornax
4,Omega Fornacis,Fornax
2,Pollux,Gemini
3,Castor,Gemini
4,Alhena,Gemini
5,Tejat Posterior,Gemini
6,Mebsuta,Gemini
7,Propus,Gemini
8,Eta Geminorum,Gemini
9,Alzirr,Gemini
10,Wasat,Gemini
11,Kappa Geminorum,Gemini
12,Lambda Geminorum,Gemini
13,Theta Geminorum,Gemini
14,Mekbuda,Gemini
15,Upsilon Geminorum,Gemini
16,Nu Geminorum,Gemini
17,Rho Geminorum,Gemini
18,Tau Geminorum,Gemini
1,Alnair,Grus
2,Gruid,Grus
3,Aldhanab,Grus
4,Epsilon Gruis,Grus
5,Iota Gruis,Grus
6,Delta-1 Gruis,Grus
7,Zeta Gruis,Grus
8,Delta-2 Gruis,Grus
9,Theta Gruis,Grus
10,Lambda Gruis,Grus
11,Mu-1 Gruis,Grus
12,Rho Gruis,Grus
3,Kornephoros,Hercules
4,Zeta Herculis,Hercules
5,Sarin,Hercules
6,Pi Herculis,Hercules
7,Marfak Al Jathih Aisr,Hercules
8,Rasalgethi,Hercules
9,Sophian,Hercules
10,Xi Herculis,Hercules
11,Gamma Herculis,Hercules
12,Iota Herculis,Hercules
13,Atia,Hercules
14,Rukbalgethi Genubi,Hercules
15,Rukbalgethi Shemali,Hercules
16,Epsilon Herculis,Hercules
17,Rho Herculis,Hercules
18,Sigma Herculis,Hercules
19,Phi Herculis,Hercules
20,Maasym,Hercules
21,Kajam,Hercules
22,Chi Herculis,Hercules
23,Marfik,Hercules
1,Alpha Horologii,Horologium
2,R Horologii,Horologium
3,Beta Horologii,Horologium
4,Mu Horologii,Horologium
5,Zeta Horologii,Horologium
6,Eta Horologii,Horologium
7,Iota Horologii,Horologium
4,Alphard,Hydra
5,Gamma Hydrae,Hydra
6,Hydrobius,Hydra
7,Nu Hydrae,Hydra
8,Pi Hydrae,Hydra
9,Ashlesha,Hydra
10,Xi Hydrae,Hydra
11,Lambda Hydrae,Hydra
12,Mu Hydrae,Hydra
