Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Croatia,Import,940310,"Furniture; metal, for office use",2019, World,           3960.58,1.09731e+006,Kg
Ethiopia(excludes Eritrea),Import,940310,"Furniture; metal, for office use",2019, World,           3866.81,1.58387e+006,Kg
Vietnam,Import,940310,"Furniture; metal, for office use",2019, World,           3839.35,855640,Kg
South Africa,Import,940310,"Furniture; metal, for office use",2019, World,           3713.21,1.28687e+006,Kg
Latvia,Import,940310,"Furniture; metal, for office use",2019, World,           3684.81,887580,Kg
Angola,Import,940310,"Furniture; metal, for office use",2019, World,           3462.98,,
Slovenia,Import,940310,"Furniture; metal, for office use",2019, World,           3321.01,988339,Kg
Mauritius,Import,940310,"Furniture; metal, for office use",2019, World,           3263.64,1.54639e+006,Kg
"Egypt, Arab Rep.",Import,940310,"Furniture; metal, for office use",2019, World,           3170.51,508798,Kg
"Serbia, FR(Serbia/Montenegro)",Import,940310,"Furniture; metal, for office use",2019, World,           3139.02,920421,Kg
Turkey,Import,940310,"Furniture; metal, for office use",2019, World,           3133.07,524950,Kg
Peru,Import,940310,"Furniture; metal, for office use",2019, World,           2933.14,1.19519e+006,Kg
Azerbaijan,Import,940310,"Furniture; metal, for office use",2019, World,           2852.71,473603,Kg
El Salvador,Import,940310,"Furniture; metal, for office use",2019, World,           2768.92,900213,Kg
Bahrain,Import,940310,"Furniture; metal, for office use",2019, World,           2723.32,848367,Kg
Jamaica,Import,940310,"Furniture; metal, for office use",2019, World,           2458.11,804290,Kg
Honduras,Import,940310,"Furniture; metal, for office use",2019, World,           2315.22,635551,Kg
Uzbekistan,Import,940310,"Furniture; metal, for office use",2019, World,           2287.88,407032,Kg
Lebanon,Import,940310,"Furniture; metal, for office use",2019, World,           2202.57,363300,Kg
Brunei,Import,940310,"Furniture; metal, for office use",2019, World,           2108.63,511594,Kg
Estonia,Import,940310,"Furniture; metal, for office use",2019, World,           1966.68,374293,Kg
Jordan,Import,940310,"Furniture; metal, for office use",2019, World,           1921.68,768522,Kg
Kenya,Import,940310,"Furniture; metal, for office use",2019, World,           1913.87,1.30455e+006,Kg
Nigeria,Import,940310,"Furniture; metal, for office use",2019, World,           1796.31,1.68594e+006,Kg
Bosnia and Herzegovina,Import,940310,"Furniture; metal, for office use",2019, World,           1773.12,759969,Kg
Guatemala,Import,940310,"Furniture; metal, for office use",2019, World,           1712.42,440946,Kg
Argentina,Import,940310,"Furniture; metal, for office use",2019, World,           1694.25,440092,Kg
Georgia,Import,940310,"Furniture; metal, for office use",2019, World,           1575.07,523125,Kg
Belize,Import,940310,"Furniture; metal, for office use",2019, World,           1546.82,302337,Kg
Zambia,Import,940310,"Furniture; metal, for office use",2019, World,           1472.16,730673,Kg
Cote d'Ivoire,Import,940310,"Furniture; metal, for office use",2019, World,           1466.73,604815,Kg
Bermuda,Import,940310,"Furniture; metal, for office use",2019, World,           1440.88,124634,Kg
Colombia,Import,940310,"Furniture; metal, for office use",2019, World,           1418.35,429202,Kg
Iceland,Import,940310,"Furniture; metal, for office use",2019, World,           1395.95,208039,Kg
Cyprus,Import,940310,"Furniture; metal, for office use",2019, World,           1391.06,284737,Kg
"Congo, Dem. Rep.",Import,940310,"Furniture; metal, for office use",2019, World,           1388.26,856454,Kg
Mongolia,Import,940310,"Furniture; metal, for office use",2019, World,           1332.50,668116,Kg
Armenia,Import,940310,"Furniture; metal, for office use",2019, World,           1295.47,177197,Kg
Tanzania,Import,940310,"Furniture; metal, for office use",2019, World,           1283.62,1.03763e+006,Kg
Brazil,Import,940310,"Furniture; metal, for office use",2019, World,           1253.86,343538,Kg
Lao PDR,Import,940310,"Furniture; metal, for office use",2019, World,           1136.58,1.12048e+006,Kg
Yemen,Import,940310,"Furniture; metal, for office use",2019, World,           1122.07,2.11867e+006,Kg
Malawi,Import,940310,"Furniture; metal, for office use",2019, World,           1036.63,354976,Kg
Namibia,Import,940310,"Furniture; metal, for office use",2019, World,            988.05,220196,Kg
Maldives,Import,940310,"Furniture; metal, for office use",2019, World,            983.31,203052,Kg
Senegal,Import,940310,"Furniture; metal, for office use",2019, World,            976.60,423300,Kg
Ghana,Import,940310,"Furniture; metal, for office use",2019, World,            975.53,474301,Kg
North Macedonia,Import,940310,"Furniture; metal, for office use",2019, World,            932.20,320595,Kg
Barbados,Import,940310,"Furniture; metal, for office use",2019, World,            926.58,144822,Kg
Malta,Import,940310,"Furniture; metal, for office use",2019, World,            808.38,176173,Kg
Moldova,Import,940310,"Furniture; metal, for office use",2019, World,            791.61,347867,Kg
Sri Lanka,Import,940310,"Furniture; metal, for office use",2019, World,            783.13,251314,Kg
Aruba,Import,940310,"Furniture; metal, for office use",2019, World,            782.07,128584,Kg
French Polynesia,Import,940310,"Furniture; metal, for office use",2019, World,            720.92,159570,Kg
Macao,Import,940310,"Furniture; metal, for office use",2019, World,            674.87,150402,Kg
Uganda,Import,940310,"Furniture; metal, for office use",2019, World,            668.97,524374,Kg
Antigua and Barbuda,Import,940310,"Furniture; metal, for office use",2019, World,            657.76,57036.6,Kg
Tunisia,Import,940310,"Furniture; metal, for office use",2019, World,            638.57,134885,Kg
Montenegro,Import,940310,"Furniture; metal, for office use",2019, World,            622.50,167329,Kg
Madagascar,Import,940310,"Furniture; metal, for office use",2019, World,            605.97,239732,Kg
Grenada,Import,940310,"Furniture; metal, for office use",2019, World,            600.37,126721,Kg
Albania,Import,940310,"Furniture; metal, for office use",2019, World,            589.71,203323,Kg
Suriname,Import,940310,"Furniture; metal, for office use",2019, World,            580.01,205223,Kg
Bolivia,Import,940310,"Furniture; metal, for office use",2019, World,            554.14,249999,Kg
Kyrgyz Republic,Import,940310,"Furniture; metal, for office use",2019, World,            546.91,379615,Kg
Uruguay,Import,940310,"Furniture; metal, for office use",2019, World,            530.34,129516,Kg
Ecuador,Import,940310,"Furniture; metal, for office use",2019, World,            526.88,,
Nicaragua,Import,940310,"Furniture; metal, for office use",2019, World,            518.05,195827,Kg
Fiji,Import,940310,"Furniture; metal, for office use",2019, World,            452.16,144740,Kg
Botswana,Import,940310,"Furniture; metal, for office use",2019, World,            446.86,79295.9,Kg
Niger,Import,940310,"Furniture; metal, for office use",2019, World,            433.65,89547.4,Kg
Occ.Pal.Terr,Import,940310,"Furniture; metal, for office use",2019, World,            428.05,88391.8,Kg
Pakistan,Import,940310,"Furniture; metal, for office use",2019, World,            417.76,,
Mali,Import,940310,"Furniture; metal, for office use",2019, World,            412.57,168834,Kg
St. Lucia,Import,940310,"Furniture; metal, for office use",2019, World,            402.70,88912.7,Kg
Burkina Faso,Import,940310,"Furniture; metal, for office use",2019, World,            395.23,208341,Kg
Cape Verde,Import,940310,"Furniture; metal, for office use",2019, World,            387.68,148719,Kg
Paraguay,Import,940310,"Furniture; metal, for office use",2019, World,            385.43,137333,Kg
Eswatini,Import,940310,"Furniture; metal, for office use",2019, World,            349.70,103285,Kg
Guyana,Import,940310,"Furniture; metal, for office use",2019, World,            346.60,95458.3,Kg
Tajikistan,Import,940310,"Furniture; metal, for office use",2019, World,            346.05,94668.3,Kg
Mauritania,Import,940310,"Furniture; metal, for office use",2019, World,            330.69,130934,Kg
Togo,Import,940310,"Furniture; metal, for office use",2019, World,            288.60,2840,Kg
"Congo, Rep.",Import,940310,"Furniture; metal, for office use",2019, World,            285.44,157264,Kg
Seychelles,Import,940310,"Furniture; metal, for office use",2019, World,            259.29,63833.8,Kg
Zimbabwe,Import,940310,"Furniture; metal, for office use",2019, World,            257.63,93225.1,Kg
Lesotho,Import,940310,"Furniture; metal, for office use",2019, World,            210.10,111294,Kg
Burundi,Import,940310,"Furniture; metal, for office use",2019, World,            206.63,153879,Kg
St. Vincent and the Grenadines,Import,940310,"Furniture; metal, for office use",2019, World,            193.07,38216.4,Kg
Rwanda,Import,940310,"Furniture; metal, for office use",2019, World,            145.59,64339.5,Kg
Benin,Import,940310,"Furniture; metal, for office use",2019, World,             94.55,52222,Kg
Samoa,Import,940310,"Furniture; metal, for office use",2019, World,             59.06,33931.2,Kg
"Gambia, The",Import,940310,"Furniture; metal, for office use",2019, World,             47.14,112920,Kg
Sao Tome and Principe,Import,940310,"Furniture; metal, for office use",2019, World,             45.60,10040,Kg
Comoros,Import,940310,"Furniture; metal, for office use",2019, World,              8.75,9045,Kg
