Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
North Macedonia,Export,940310,"Furniture; metal, for office use",2019, World,            856.70,208824,Kg
Jordan,Export,940310,"Furniture; metal, for office use",2019, World,            572.49,50946,Kg
Brunei,Export,940310,"Furniture; metal, for office use",2019, World,            480.83,5473.09,Kg
Tunisia,Export,940310,"Furniture; metal, for office use",2019, World,            463.38,77375,Kg
Brazil,Export,940310,"Furniture; metal, for office use",2019, World,            449.91,115791,Kg
Honduras,Export,940310,"Furniture; metal, for office use",2019, World,            431.51,158021,Kg
Morocco,Export,940310,"Furniture; metal, for office use",2019, World,            403.44,92124.2,Kg
Bahrain,Export,940310,"Furniture; metal, for office use",2019, World,            330.90,76303.1,Kg
Lebanon,Export,940310,"Furniture; metal, for office use",2019, World,            276.24,17566,Kg
Kazakhstan,Export,940310,"Furniture; metal, for office use",2019, World,            234.49,80846.3,Kg
Saudi Arabia,Export,940310,"Furniture; metal, for office use",2019, World,            196.18,132790,Kg
Kenya,Export,940310,"Furniture; metal, for office use",2019, World,            100.65,23183.5,Kg
Peru,Export,940310,"Furniture; metal, for office use",2019, World,             79.26,10324.7,Kg
El Salvador,Export,940310,"Furniture; metal, for office use",2019, World,             77.85,16239.8,Kg
Iceland,Export,940310,"Furniture; metal, for office use",2019, World,             72.39,9140,Kg
Namibia,Export,940310,"Furniture; metal, for office use",2019, World,             65.87,,
Chile,Export,940310,"Furniture; metal, for office use",2019, World,             58.76,1406.41,Kg
Cambodia,Export,940310,"Furniture; metal, for office use",2019, World,             58.07,33896,Kg
Sri Lanka,Export,940310,"Furniture; metal, for office use",2019, World,             53.98,9333.43,Kg
Nicaragua,Export,940310,"Furniture; metal, for office use",2019, World,             53.07,19083.8,Kg
Ethiopia(excludes Eritrea),Export,940310,"Furniture; metal, for office use",2019, World,             51.41,26038.3,Kg
Moldova,Export,940310,"Furniture; metal, for office use",2019, World,             46.72,22770,Kg
Costa Rica,Export,940310,"Furniture; metal, for office use",2019, World,             46.57,27505.6,Kg
Uganda,Export,940310,"Furniture; metal, for office use",2019, World,             44.47,68103.9,Kg
Madagascar,Export,940310,"Furniture; metal, for office use",2019, World,             42.30,8043.99,Kg
Lao PDR,Export,940310,"Furniture; metal, for office use",2019, World,             41.79,6294.58,Kg
Cyprus,Export,940310,"Furniture; metal, for office use",2019, World,             39.93,17404,Kg
Mauritius,Export,940310,"Furniture; metal, for office use",2019, World,             32.78,10229,Kg
Georgia,Export,940310,"Furniture; metal, for office use",2019, World,             32.51,26262.7,Kg
Dominican Republic,Export,940310,"Furniture; metal, for office use",2019, World,             26.10,2564.69,Kg
Burundi,Export,940310,"Furniture; metal, for office use",2019, World,             24.69,2880,Kg
Mongolia,Export,940310,"Furniture; metal, for office use",2019, World,             24.52,7906.65,Kg
Albania,Export,940310,"Furniture; metal, for office use",2019, World,             24.15,10770.6,Kg
Argentina,Export,940310,"Furniture; metal, for office use",2019, World,             17.12,4225.82,Kg
Armenia,Export,940310,"Furniture; metal, for office use",2019, World,             14.79,2539,Kg
Ghana,Export,940310,"Furniture; metal, for office use",2019, World,             14.37,16905.2,Kg
Ecuador,Export,940310,"Furniture; metal, for office use",2019, World,             13.06,,
Nepal,Export,940310,"Furniture; metal, for office use",2019, World,             11.86,1644.43,Kg
Botswana,Export,940310,"Furniture; metal, for office use",2019, World,             11.53,2882,Kg
Pakistan,Export,940310,"Furniture; metal, for office use",2019, World,             10.79,,
Malta,Export,940310,"Furniture; metal, for office use",2019, World,              9.82,2477,Kg
Fiji,Export,940310,"Furniture; metal, for office use",2019, World,              9.50,1528.83,Kg
Uzbekistan,Export,940310,"Furniture; metal, for office use",2019, World,              8.94,1790,Kg
Montenegro,Export,940310,"Furniture; metal, for office use",2019, World,              8.26,887.28,Kg
Barbados,Export,940310,"Furniture; metal, for office use",2019, World,              6.73,2868,Kg
Azerbaijan,Export,940310,"Furniture; metal, for office use",2019, World,              5.10,4697.9,Kg
Angola,Export,940310,"Furniture; metal, for office use",2019, World,              4.91,4739.17,Kg
Samoa,Export,940310,"Furniture; metal, for office use",2019, World,              3.13,1500,Kg
