Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Ukraine,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           4193.36,,
Thailand,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           3938.67,,
Belgium,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           2185.37,,
Slovak Republic,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1765.82,,
Slovenia,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1631.73,,
Romania,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1050.11,,
Morocco,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,           1043.77,,
Turkey,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            909.04,,
Malta,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            806.89,,
Australia,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            701.04,,
Finland,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            641.49,,
Czech Republic,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            598.78,,
Hungary,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            487.20,,
South Africa,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            460.56,,
"Serbia, FR(Serbia/Montenegro)",Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            355.30,,
Chile,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            326.39,88,Item
Portugal,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            247.79,,
New Zealand,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            149.15,150656,Item
Estonia,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            137.11,,
Greece,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,            128.75,,
Norway,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,             80.17,26287,Item
Lithuania,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,             69.94,,
Brazil,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,             68.28,64764,Item
Burkina Faso,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,             64.41,,
Belarus,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,             54.60,75187,Item
Croatia,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,             39.76,,
Tunisia,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,             31.27,,
Guatemala,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,             21.98,,
Costa Rica,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,             18.88,,
North Macedonia,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              8.12,,
Bosnia and Herzegovina,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              6.21,,
Kenya,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              4.61,,
Namibia,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              3.91,,
Bulgaria,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              3.81,,
Latvia,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              3.23,,
Uruguay,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              2.79,1,Item
Georgia,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              2.64,1370,Item
Colombia,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              2.41,9,Item
Madagascar,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              1.64,7,Item
Kyrgyz Republic,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              1.34,100,Item
Azerbaijan,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              1.22,12,Item
Ecuador,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.63,,
Eswatini,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.57,,
Botswana,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.39,6,Item
Dominican Republic,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.34,,
Nicaragua,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.33,,
Honduras,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.27,,
Kazakhstan,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.19,,
Lebanon,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.15,,
Kuwait,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.08,2,Item
Cote d'Ivoire,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.08,,
Luxembourg,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.08,,
Sri Lanka,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.07,1,Item
Tanzania,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.02,5,Item
El Salvador,Export,854150,"Electrical apparatus; photosensitive semiconductor devices n.e.s. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels",2019, World,              0.00,,
