artist,album,track_name,track_id,release_year,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Clean Bandit,Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,2018,False,75,0.737,0.636,11,-4.546,0,0.0437,6.66e-05,0.35,0.565,105.005,222653,4
Post Malone,Stoney (Deluxe),I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,2018,True,82,0.556,0.538,8,-5.408,0,0.0382,0.0,0.196,0.291,143.95,223347,4
Dennis Lloyd,Nevermind,Nevermind,63SevszngYpZOwf63o61K4,2018,False,78,0.6,0.688,5,-8.339,0,0.201,1.29e-05,0.409,0.0793,99.977,156600,4
Luis Fonsi,Échame La Culpa,Échame La Culpa,2hl6q70unbviGo3g1R7uFx,2018,False,66,0.733,0.892,0,-3.641,1,0.0417,0.0,0.137,0.675,95.989,173720,4
benny blanco,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,2018,False,79,0.56,0.68,6,-7.648,0,0.321,0.0,0.116,0.319,89.391,173800,4
Camila Cabello,Camila,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,2018,False,78,0.637,0.713,0,-4.333,1,0.0747,0.000637,0.137,0.243,129.923,226973,4
Selena Gomez,Wolves,Wolves,0tBbt8CrmxbjRP0pueQkyU,2018,False,83,0.724,0.804,11,-4.614,0,0.0448,0.0,0.204,0.306,124.987,197993,4
XXXTENTACION,?,changes,7AFASza1mXqntmGtbxXprO,2018,False,83,0.669,0.308,11,-10.068,1,0.029,0.0,0.0984,0.52,64.934,121887,4
Dynoro,In My Mind,In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,2018,False,82,0.694,0.77,6,-5.335,1,0.149,1.1e-05,0.118,0.163,125.905,184560,4
Eminem,Revival,River (feat. Ed Sheeran),1cS0TgbR263ey9jn0MwD2s,2018,True,77,0.748,0.749,8,-5.916,0,0.516,0.0,0.0713,0.659,90.09,221013,4
Daddy Yankee,Dura,Dura,6KuqAtoeVzxAYOaMveLNpH,2018,False,74,0.783,0.84,1,-3.416,1,0.051,0.0,0.412,0.839,95.001,200480,4
Travis Scott,ASTROWORLD,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,2018,True,85,0.834,0.73,8,-3.714,1,0.222,0.0,0.124,0.446,155.008,312820,4
Imagine Dragons,Evolve,Thunder,1zB4vmk8tFRmM9UULNzbLB,2018,False,86,0.605,0.822,0,-4.833,1,0.0438,0.134,0.147,0.288,167.997,187147,4
Reik,Me Niego (feat. Ozuna & Wisin),Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,2018,False,3,0.777,0.779,0,-4.449,0,0.0972,0.0,0.636,0.768,94.023,221653,4
Tiësto,Jackie Chan,Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,2018,True,75,0.747,0.834,3,-2.867,0,0.045,0.0,0.0586,0.687,128.005,215760,4
Bruno Mars,Finesse (Remix) [feat. Cardi B],Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,2018,False,77,0.704,0.859,5,-4.877,0,0.0996,0.0,0.0215,0.926,105.115,217289,4
Selena Gomez,Back To You (From 13 Reasons Why – Season 2 Soundtrack),Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,2018,False,77,0.601,0.724,6,-4.856,1,0.0486,1.68e-06,0.12,0.508,102.061,207905,4
NF,Perception,Let You Down,52okn5MNA47tk87PeZJLEL,2018,False,84,0.662,0.714,5,-5.68,0,0.121,0.0,0.179,0.464,147.997,212120,4
The Weeknd,"My Dear Melancholy,",Call Out My Name,1gm616Plq4ScqNi7TVkZ5N,2018,False,0,0.489,0.598,1,-4.929,1,0.036,0.0,0.35,0.172,134.045,228373,3
21 Savage,Without Warning,Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,2018,True,85,0.88,0.428,9,-8.28,1,0.206,5.05e-05,0.114,0.333,100.007,172800,4
Marshmello,Happier,Happier,2dpaYNEQHiRxtZbfNsse99,2018,False,86,0.687,0.792,5,-2.749,1,0.0452,0.0,0.167,0.671,100.015,214290,4
Sam Smith,The Thrill Of It All (Special Edition),Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV,2018,False,83,0.681,0.372,5,-8.237,1,0.0432,0.0,0.169,0.476,91.873,201000,4
Lil Dicky,Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,2018,True,73,0.755,0.599,8,-5.042,1,0.224,0.0,0.109,0.755,133.123,216632,4
Imagine Dragons,Evolve,Believer,0pqnGHJpmpxLKifKRmU6WP,2018,False,90,0.776,0.78,10,-4.374,0,0.128,0.0,0.081,0.666,124.949,204347,4
6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,2018,True,1,0.931,0.387,1,-9.127,1,0.412,0.0,0.136,0.376,125.978,179405,4
Jonas Blue,Blue,Rise,3KLygy1YWhmrQx0GRs7IOx,2018,False,0,0.687,0.785,1,-4.65,1,0.0333,0.0,0.203,0.655,106.046,194408,4
Loud Luxury,Body (feat. brando),Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,2018,False,0,0.752,0.764,1,-4.399,1,0.038,9.44e-05,0.0543,0.582,121.958,163216,4
Lil Uzi Vert,Luv Is Rage 2,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,2018,True,86,0.732,0.75,11,-6.366,0,0.231,0.0,0.109,0.401,155.096,182707,4
Becky G,Sin Pijama,Sin Pijama,2ijef6ni2amuunRoKTlgww,2018,False,73,0.791,0.745,11,-3.695,0,0.0464,2.93e-05,0.104,0.82,94.014,188560,4
Anne-Marie,Speak Your Mind (Deluxe),2002,2BgEsaKNfHUdlh97KmvFyo,2018,False,84,0.697,0.683,1,-2.881,0,0.117,0.0,0.137,0.603,96.133,186987,4
Drake,Scorpion,Nonstop,0TlLq3lA83rQOYtrqBqSct,2018,True,81,0.912,0.412,7,-8.074,1,0.123,0.0126,0.104,0.423,154.983,238614,4
XXXTENTACION,17,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,2018,True,85,0.797,0.533,0,-9.74,0,0.0412,0.000152,0.103,0.329,131.036,146520,4
Shawn Mendes,Shawn Mendes,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,2018,False,79,0.622,0.712,5,-7.321,1,0.066,0.0,0.13,0.487,140.025,211360,4
Marshmello,Silence,Silence,7vGuf3Y35N4wmASOKLUVVU,2018,False,83,0.52,0.761,4,-3.093,1,0.0853,4.96e-06,0.17,0.286,141.971,180823,4
Ariana Grande,Sweetener,God is a woman,5OCJzvD7sykQEKHH7qAC3C,2018,True,82,0.602,0.658,1,-5.934,1,0.0558,6e-05,0.237,0.268,145.031,197547,4
Piso 21,Ubuntu,Déjala Que Vuelva (feat. Manuel Turizo),1j6xOGusnyXq3l6IryKF3G,2018,False,75,0.681,0.788,1,-4.323,1,0.0785,0.0,0.0753,0.839,170.019,220117,4
David Guetta,7,Flames,66BjcDhhwWCcQIBxHMpKXh,2018,False,63,0.631,0.649,5,-5.892,0,0.0385,3.8e-06,0.0934,0.421,93.95,194680,4
Maroon 5,Red Pill Blues (Deluxe),What Lovers Do,0WdGQhoAP2LBsqr5Jhit2g,2018,False,36,0.799,0.597,5,-5.131,0,0.0611,5.66e-06,0.1,0.419,110.001,199849,4
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,2018,True,79,0.842,0.801,8,-4.167,0,0.228,4.82e-06,0.0642,0.617,95.881,212500,4
Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,2018,False,81,0.664,0.708,8,-4.154,1,0.0474,0.0,0.0841,0.742,103.07,174800,4
Portugal. The Man,Woodstock,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,2018,False,80,0.801,0.795,1,-5.115,0,0.0504,0.000113,0.0717,0.754,79.028,163253,4
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,2018,True,73,0.735,0.677,2,-4.979,1,0.093,2.17e-05,0.111,0.188,100.584,211440,4
Migos,Culture II,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,2018,True,79,0.907,0.633,2,-5.145,1,0.184,2.6e-06,0.106,0.395,145.914,276147,4
G-Eazy,The Beautiful & Damned,Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4,2018,True,79,0.589,0.731,2,-6.343,1,0.0868,0.0,0.308,0.191,87.908,268867,4
Post Malone,beerbongs & bentleys,Candy Paint,32lItqlMi4LBhb4k0BaSaC,2018,True,78,0.664,0.667,4,-5.941,1,0.154,1.22e-06,0.0753,0.381,180.064,227533,4
Post Malone,Stoney (Deluxe),Congratulations,3a1lNhkSLSkpJE4MSHpDu9,2018,True,84,0.63,0.804,6,-4.183,1,0.0363,0.0,0.253,0.492,123.146,220293,4
Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,2018,False,70,0.792,0.895,1,-3.112,0,0.0589,0.0,0.0501,0.794,94.968,201526,4
