artist,album,track_name,track_id,release_year,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Specktors,Unz Unz,Unz Unz,2vjKei86vFPZBodhXEqEmX,2019,False,52,0.898,0.663,6,-6.455,0,0.0557,1.77e-05,0.081,0.928,124.016,175316,4
Citybois,Finde Tilbage,Finde Tilbage,2PULF2IhwRZg7Qpx3x4lHg,2019,False,0,0.785,0.67,9,-4.928,0,0.063,0.0,0.164,0.491,100.024,186733,4
TopGunn,1991,Hyg Hver Dag (feat. Citybois),5EGO6sCOZuracSGyAPvu3F,2019,False,45,0.861,0.447,10,-8.351,0,0.11,0.0,0.113,0.494,102.04,151251,4
TopGunn,1991,Detaljen (feat. Fouli),7FXfrOsoBv8AU9E7hWRTbH,2019,True,47,0.798,0.612,5,-7.072,0,0.262,0.0,0.127,0.792,162.015,174734,4
benny blanco,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,2019,False,79,0.56,0.68,6,-7.648,0,0.321,0.0,0.116,0.319,89.391,173800,4
Post Malone,Hollywood's Bleeding,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,2019,True,81,0.548,0.653,5,-3.875,1,0.081,0.0,0.103,0.163,150.068,174853,4
Shawn Mendes,If I Can't Have You,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,2019,False,77,0.692,0.809,2,-4.198,1,0.0602,0.0,0.147,0.864,123.911,190800,4
Scarlet Pleasure,24/7,24/7,7Gh29sTql3Yln7gzOB6QZG,2019,False,48,0.836,0.553,10,-5.566,0,0.0629,0.0,0.0764,0.675,126.051,169540,4
Lil Nas X,7 EP,Old Town Road,0F7FA14euOIX8KcbEturGH,2019,False,79,0.907,0.53,1,-6.112,1,0.127,2.23e-06,0.101,0.507,135.998,113000,4
Sivas,Oui,Oui,7j8K8PE1tO2TvhY15E8ZcD,2019,True,54,0.837,0.802,4,-6.507,0,0.188,0.00874,0.307,0.453,127.008,188273,4
Calvin Harris,Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,2019,False,77,0.807,0.887,1,-4.311,0,0.0361,0.000503,0.0811,0.606,122.015,229184,4
Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),Cross Me (feat. Chance the Rapper & PnB Rock),543bCW2ruMPmxUBWirQ3MR,2019,True,68,0.746,0.787,4,-6.373,1,0.12,0.0,0.0669,0.607,95.005,206187,4
Loud Luxury,Body (feat. brando),Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,2019,False,0,0.752,0.764,1,-4.399,1,0.038,9.44e-05,0.0543,0.582,121.958,163216,4
R3HAB,All Around The World (La La La),All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,2019,False,77,0.733,0.859,9,-5.03,0,0.033,0.0645,0.105,0.52,124.948,147840,4
Panic! At The Disco,Pray for the Wicked,High Hopes,1rqqCSm0Qe4I9rUvWncaom,2019,False,84,0.579,0.904,5,-2.729,1,0.0618,0.0,0.064,0.681,82.014,190947,4
The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,2020,False,94,0.514,0.73,1,-5.934,1,0.0598,9.54e-05,0.0897,0.334,171.005,200040,4
Tones And I,Dance Monkey,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,2020,False,67,0.826,0.593,6,-6.401,0,0.0976,0.000161,0.17,0.541,98.083,209755,4
Roddy Ricch,Please Excuse Me for Being Antisocial,The Box,0nbXyq5TXYPCO7pr3N8S4I,2020,True,85,0.896,0.586,10,-6.687,0,0.0559,0.0,0.79,0.642,116.971,196653,4
SAINt JHN,Roses (Imanbek Remix),Roses - Imanbek Remix,2Wo6QQD1KMDWeFkkjLqwx5,2020,True,64,0.785,0.721,8,-5.457,1,0.0506,0.00432,0.285,0.894,121.962,176219,4
Dua Lipa,Future Nostalgia,Don't Start Now,3PfIrDoz19wz7qK7tYeu62,2020,False,85,0.793,0.793,11,-4.521,0,0.083,0.0,0.0951,0.679,123.95,183290,4
DaBaby,BLAME IT ON BABY,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,2020,True,85,0.746,0.69,11,-7.956,1,0.164,0.0,0.101,0.497,89.977,181733,4
Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,2020,False,91,0.548,0.816,0,-4.209,1,0.0465,0.0,0.335,0.557,95.39,174000,4
Powfu,death bed (coffee for your head),death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,2020,False,87,0.726,0.431,8,-8.765,0,0.135,0.0,0.696,0.348,144.026,173333,4
Trevor Daniel,Nicotine,Falling,2rRJrJEo19S2J82BDsQ3F7,2020,False,10,0.784,0.43,10,-8.756,0,0.0364,0.0,0.0887,0.236,127.087,159382,4
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,2020,False,89,0.501,0.405,1,-5.679,1,0.0319,0.0,0.105,0.446,109.891,182161,4
KAROL G,Tusa,Tusa,7k4t7uLgtOxPwTpFmtJNTY,2020,False,82,0.803,0.715,2,-3.28,1,0.298,0.000134,0.0574,0.574,101.085,200960,4
Arizona Zervas,ROXANNE,ROXANNE,696DnlkuDOXcMAnKlTgXXK,2020,True,83,0.621,0.601,6,-5.616,0,0.148,0.0,0.46,0.457,116.735,163636,5
Post Malone,Hollywood's Bleeding,Circles,21jGcNKet2qwijlDFuPiPb,2020,False,88,0.695,0.762,0,-3.497,1,0.0395,0.00244,0.0863,0.553,120.042,215280,4
Lil Mosey,Certified Hitmaker,Blueberry Faygo,22LAwLoDA5b4AaGSkg6bKW,2020,True,80,0.774,0.554,0,-7.909,1,0.0383,0.0,0.132,0.349,99.034,162547,4
Justin Bieber,Changes,Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV,2020,False,79,0.806,0.546,9,-6.637,1,0.0575,0.0,0.102,0.874,147.986,212867,4
Drake,Dark Lane Demo Tapes,Toosie Slide,466cKvZn1j45IpxDdYZqdA,2020,True,73,0.83,0.49,1,-8.82,0,0.209,3.04e-06,0.113,0.845,81.604,247059,4
Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),Before You Go,2gMXnyrvIjhVBUZwvLZDMP,2020,False,86,0.459,0.575,3,-4.858,1,0.0573,0.0,0.0885,0.183,111.881,215107,4
Doja Cat,Hot Pink,Say So,3Dv1eDb0MEgF93GpLXlucZ,2020,True,84,0.787,0.673,11,-4.583,0,0.159,3.35e-06,0.0904,0.779,110.962,237893,4
Maroon 5,Memories,Memories,2b8fOow8UzyDFAE27YhOZM,2020,False,36,0.764,0.32,11,-7.209,1,0.0546,0.0,0.0822,0.575,91.019,189486,4
Future,High Off Life,Life Is Good (feat. Drake),1K5KBOgreBi5fkEHvg5ap3,2020,True,77,0.795,0.574,2,-6.903,0,0.487,0.0,0.15,0.537,142.053,237918,4
Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,2020,True,82,0.767,0.481,0,-8.52,0,0.0803,0.0,0.269,0.761,150.076,171375,4
Harry Styles,Fine Line,Adore You,3jjujdWJ72nww5eGnfs2E7,2020,False,86,0.676,0.771,8,-3.675,1,0.0483,7e-06,0.102,0.569,99.048,207133,4
Topic,Breaking Me,Breaking Me,3H7ihDc1dqLriiWXwsc2po,2020,False,84,0.789,0.72,8,-5.652,0,0.218,0.0,0.129,0.664,122.031,166794,4
24kGoldn,Mood (feat. iann dior),Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,2020,True,17,0.7,0.722,7,-3.558,0,0.0369,0.0,0.272,0.756,90.989,140526,4
Billie Eilish,everything i wanted,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,2020,False,84,0.704,0.225,6,-14.454,0,0.0994,0.657,0.106,0.243,120.006,245426,4
Shawn Mendes,Shawn Mendes (Deluxe),Señorita,6v3KW9xbzN5yKLt9YKDYA2,2020,False,82,0.759,0.548,9,-6.049,0,0.029,0.0,0.0828,0.749,116.967,190800,4
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,2Fxmhks0bxGSBdJ92vM42m,2020,False,87,0.701,0.425,7,-10.965,1,0.375,0.13,0.1,0.562,135.128,194088,4
Cardi B,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,2020,True,85,0.935,0.454,1,-7.509,1,0.375,0.0,0.0824,0.357,133.073,187541,4
Surfaces,Where the Light Is,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,2020,False,81,0.878,0.525,5,-6.832,1,0.0578,0.0,0.0714,0.694,112.022,158571,4
Eminem,Music To Be Murdered By,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,2020,True,88,0.808,0.745,10,-5.26,0,0.342,0.0,0.292,0.829,165.995,210800,4
Justin Bieber,Changes,Yummy,16wAOAZ2OkqoIDN7TpChjR,2020,False,74,0.676,0.506,9,-6.652,0,0.0958,0.0,0.118,0.497,145.842,208520,4
Dua Lipa,Future Nostalgia,Break My Heart,017PF4Q3l4DBUiWoXk4OWT,2020,False,82,0.73,0.729,4,-3.434,0,0.0884,1.39e-06,0.349,0.467,113.011,221820,4
BTS,Dynamite (DayTime Version),Dynamite,0t1kP63rueHleOhQkYSXFY,2020,False,51,0.746,0.765,6,-4.41,0,0.0993,0.0,0.0936,0.737,114.044,199054,4
BENEE,Hey u x,Supalonely (feat. Gus Dapperton),3GZoWLVbmxcBys6g0DLFLf,2020,True,66,0.862,0.631,7,-4.746,1,0.0515,0.000209,0.123,0.841,128.978,223488,4
Surf Mesa,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,2020,False,81,0.674,0.774,11,-7.567,0,0.0892,0.00188,0.393,0.33,112.05,176547,4
Lady Gaga,Chromatica,Rain On Me (with Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,2020,False,79,0.672,0.855,9,-3.764,1,0.0397,0.0,0.323,0.646,123.056,182200,4
Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,2020,True,86,0.598,0.427,7,-8.764,0,0.0317,5.83e-06,0.21,0.0605,76.469,175721,4
Post Malone,Hollywood's Bleeding,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,2020,False,83,0.755,0.522,2,-4.368,1,0.0575,0.0,0.0685,0.925,89.96,157560,4
Maluma,PAPI JUANCHO,Hawái,1yoMvmasuxZfqHEipJhRbp,2020,False,81,0.783,0.727,6,-3.454,0,0.389,2.46e-05,0.0626,0.558,180.067,199112,4
Regard,Ride It,Ride It,2tnVG71enUj33Ic2nFN6kZ,2020,False,85,0.88,0.751,7,-4.258,0,0.0874,6.43e-05,0.106,0.884,117.948,157606,4
Travis Scott,Birds In The Trap Sing McKnight,goosebumps,6gBFPUFcJLzWGx4lenP6h2,2020,True,88,0.841,0.728,7,-3.37,1,0.0484,0.0,0.149,0.43,130.049,243837,4
Black Eyed Peas,Translation,RITMO (Bad Boys For Life),4NCsrTzgVfsDo8nWyP8PPc,2020,True,48,0.723,0.704,10,-7.088,0,0.0571,0.00109,0.792,0.684,105.095,214935,4
THE SCOTTS,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,2020,True,80,0.716,0.537,0,-7.648,0,0.0514,0.0,0.157,0.28,129.979,165978,4
Bad Bunny,YHLQMDLG,Safaera,2DEZmgHKAvm41k4J3R2E9Y,2020,True,84,0.607,0.829,2,-4.074,1,0.379,0.0,0.107,0.685,96.172,295177,4
Billie Eilish,lovely (with Khalid),lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,2020,False,90,0.351,0.296,4,-10.109,0,0.0333,0.0,0.095,0.12,115.284,200186,4
Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,2020,True,88,0.511,0.566,6,-7.23,0,0.2,0.0,0.34,0.218,83.903,239836,4
Ariana Grande,Stuck with U,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,2020,False,86,0.597,0.45,8,-6.658,1,0.0418,0.0,0.382,0.537,178.765,228482,3
JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),2kJwzbxV2ppxnQoYw4GLBZ,2020,False,83,0.464,0.473,1,-10.086,1,0.129,0.0,0.109,0.604,75.801,208687,4
Dua Lipa,Future Nostalgia,Physical,3AzjcOeAmA57TIOr9zF1ZW,2020,False,79,0.647,0.844,0,-3.756,1,0.0457,0.000658,0.102,0.746,146.967,193829,4
Travis Scott,ASTROWORLD,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,2020,True,85,0.834,0.73,8,-3.714,1,0.222,0.0,0.124,0.446,155.008,312820,4
Olivia Rodrigo,SOUR,drivers license,5wANPM4fQCJwkGd4rN57mH,2020,True,92,0.561,0.431,10,-8.81,1,0.0578,1.42e-05,0.106,0.137,143.875,242013,4
Lil Nas X,MONTERO,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,2020,True,90,0.593,0.503,8,-6.725,0,0.22,0.0,0.405,0.71,178.781,137704,4
The Kid LAROI,F*CK LOVE 3: OVER YOU,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,2020,True,93,0.591,0.764,1,-5.484,1,0.0483,0.0,0.103,0.478,169.928,141806,4
Olivia Rodrigo,SOUR,good 4 u,4ZtFanR9U6ndgddUvNcjcG,2020,True,95,0.563,0.664,9,-5.044,1,0.154,0.0,0.0849,0.688,166.928,178147,4
Dua Lipa,Future Nostalgia,Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,2020,False,89,0.702,0.825,6,-3.787,0,0.0601,0.0,0.0674,0.915,102.977,203064,4
Justin Bieber,Justice,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,2020,True,91,0.677,0.696,0,-6.181,1,0.119,0.0,0.42,0.464,90.03,198082,4
Doja Cat,Planet Her,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,2020,True,88,0.764,0.705,8,-3.463,1,0.0284,8.92e-05,0.12,0.781,110.97,208667,4
The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,2020,False,94,0.514,0.73,1,-5.934,1,0.0598,9.54e-05,0.0897,0.334,171.005,200040,4
Glass Animals,Dreamland (+ Bonus Levels),Heat Waves,02MWAaffLxlfxAUY7c5dvx,2020,False,95,0.761,0.525,11,-6.9,1,0.0944,6.7e-06,0.0921,0.531,80.87,238805,4
Måneskin,Chosen,Beggin',3Wrjm47oTz2sjIgck11l5e,2020,False,92,0.714,0.8,11,-4.808,0,0.0504,0.0,0.359,0.589,134.002,211560,4
Masked Wolf,Astronomical,Astronaut In The Ocean,6E90gq0KO6FYZVOXx8kCcC,2020,True,77,0.778,0.695,4,-6.865,0,0.0913,0.0,0.15,0.472,149.996,132780,4
Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,2020,True,87,0.731,0.573,4,-10.059,0,0.0544,5.22e-05,0.113,0.145,109.928,205090,4
Lil Nas X,MONTERO,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,2020,True,90,0.741,0.691,10,-7.395,0,0.0672,0.0,0.0476,0.892,150.087,212353,4
Ed Sheeran,=,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,2020,False,95,0.807,0.893,11,-3.745,0,0.0347,2.79e-05,0.366,0.537,126.011,230747,4
The Weeknd,After Hours,Save Your Tears,5QO79kh1waicV47BqGRL3g,2020,True,90,0.68,0.826,0,-5.487,1,0.0309,1.24e-05,0.543,0.644,118.051,215627,4
BTS,"Butter (Hotter, Sweeter, Cooler)",Butter,2bgTY4UwhfBYhGT4HUYStN,2020,False,66,0.759,0.459,8,-5.187,1,0.0948,0.0,0.0906,0.695,109.997,164442,4
Bruno Mars,Leave The Door Open,Leave The Door Open,7MAibcTli4IisCtbHKrGMh,2020,False,87,0.586,0.616,5,-7.964,1,0.0324,0.0,0.0927,0.719,148.088,242096,4
Olivia Rodrigo,SOUR,deja vu,6HU7h9RYOaPRFeh0R3UeAr,2020,True,90,0.442,0.612,2,-7.222,1,0.112,5.7e-06,0.37,0.178,180.917,215507,4
Rauw Alejandro,VICE VERSA,Todo De Ti,5RwV8BvLfX5injfqYodke9,2020,True,64,0.78,0.719,3,-3.613,0,0.0506,0.000196,0.0931,0.336,127.962,199604,4
24kGoldn,El Dorado,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,2020,True,89,0.701,0.716,7,-3.671,0,0.0361,0.0,0.324,0.732,91.007,140533,4
Tiësto,The Business,The Business,6f3Slt0GbA2bPZlz0aIFXN,2020,False,88,0.798,0.62,8,-7.079,0,0.232,0.0192,0.112,0.235,120.031,164000,4
BTS,BE,Dynamite,4saklk6nie3yiGePpBwUoc,2020,False,62,0.746,0.765,6,-4.41,0,0.0993,0.0,0.0936,0.737,114.044,199054,4
Bad Bunny,Yonaguni,Yonaguni,2JPLbjOn0wPCngEot2STUS,2020,True,94,0.644,0.648,1,-4.601,1,0.118,0.0,0.135,0.44,179.951,206710,4
Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,2020,False,91,0.548,0.816,0,-4.209,1,0.0465,0.0,0.335,0.557,95.39,174000,4
Riton,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,2020,False,88,0.824,0.862,2,-3.424,1,0.126,0.000132,0.303,0.801,122.98,169153,4
Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,telepatía,6tDDoYIxWvMLTdKpjFkc1B,2020,False,87,0.653,0.524,11,-9.016,0,0.0502,0.0,0.203,0.553,83.97,160191,4
The Kid LAROI,F*CK LOVE (SAVAGE),WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,2020,True,85,0.662,0.413,0,-7.357,1,0.0299,0.0,0.134,0.467,93.005,161385,4
Giveon,TAKE TIME,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,2020,False,87,0.449,0.465,0,-8.964,1,0.0791,1.02e-06,0.303,0.543,89.087,198371,3
Olivia Rodrigo,SOUR,traitor,5CZ40GBx1sQ9agT82CLQCT,2020,False,93,0.38,0.339,3,-7.885,1,0.0338,0.0,0.12,0.0849,100.607,229227,4
Farruko,La 167,Pepas,2B4GHvToeLTOBB4QLzW3Ni,2020,True,86,0.762,0.766,7,-3.955,1,0.0343,6.98e-05,0.128,0.442,130.001,287120,4
Ariana Grande,Positions,positions,35mvY5S1H3J2QZyna3TFe0,2020,True,88,0.737,0.802,0,-4.771,1,0.0878,0.0,0.0931,0.682,144.015,172325,4
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,2020,False,89,0.501,0.405,1,-5.679,1,0.0319,0.0,0.105,0.446,109.891,182161,4
Myke Towers,Bandido,Bandido,1xK1Gg9SxG8fy2Ya373oqb,2020,False,82,0.713,0.617,8,-4.637,1,0.0887,0.0,0.0962,0.682,168.021,232853,4
Måneskin,Teatro d'ira - Vol. I,I WANNA BE YOUR SLAVE,4pt5fDVTg5GhEvEtlz9dKk,2020,True,88,0.75,0.608,1,-4.008,1,0.0387,0.0,0.178,0.958,132.507,173347,4
Polo G,Hall of Fame,RAPSTAR,18vXApRmJSgQ6wG2ll9AOg,2020,True,82,0.789,0.536,6,-6.862,1,0.242,0.0,0.129,0.437,81.039,165926,4
Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,2020,False,87,0.856,0.618,7,-4.892,1,0.286,0.0,0.0866,0.391,81.993,203201,4
Doja Cat,Hot Pink,Streets,60ynsPSSKe6O3sfwRnIBRf,2020,True,88,0.749,0.463,11,-8.433,1,0.0842,0.0382,0.338,0.189,90.035,226987,4
The Neighbourhood,I Love You.,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,2020,False,93,0.612,0.807,10,-2.81,1,0.0336,0.0177,0.101,0.398,124.053,240400,4
Los Legendarios,Los Legendarios 001,Fiel,7Bk0uXKk1uPT0XuQbpFzvs,2020,False,82,0.849,0.701,6,-4.407,0,0.06,0.0,0.112,0.505,98.005,261667,4
Doja Cat,Planet Her,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,2020,True,93,0.664,0.609,1,-6.509,1,0.0707,0.0,0.0926,0.194,130.041,210560,4
Dua Lipa,Future Nostalgia,Don't Start Now,3PfIrDoz19wz7qK7tYeu62,2020,False,85,0.793,0.793,11,-4.521,0,0.083,0.0,0.0951,0.679,123.95,183290,4
Internet Money,B4 The Storm,"Lemonade (feat. Gunna, Don Toliver & NAV)",7hxHWCCAIIxFLCzvDgnQHX,2020,True,82,0.8,0.658,1,-6.142,0,0.079,0.0,0.111,0.462,140.042,195429,4
Doja Cat,Planet Her,Woman,6Uj1ctrBOjOas8xZXGqKk4,2020,True,95,0.824,0.764,5,-4.175,0,0.0854,0.00294,0.117,0.881,107.998,172627,4
Duncan Laurence,Small Town Boy (Track By Track),Arcade,1J14CdDAvBTE1AJYUOwl6C,2020,False,78,0.453,0.35,9,-11.639,0,0.0425,0.00122,0.144,0.279,72.017,185147,3
SZA,Good Days,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,2020,True,86,0.436,0.655,1,-8.37,0,0.0583,8.1e-06,0.688,0.412,121.002,279204,4
J Balvin,JOSE,Qué Más Pues?,6D2TCm4nf5nxAcdGJ7w3QP,2020,False,80,0.903,0.817,8,-3.972,1,0.095,0.000311,0.242,0.732,102.014,217360,4
Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,2020,False,86,0.734,0.874,8,-3.158,1,0.0662,1.14e-05,0.0489,0.905,122.953,166028,4
Ariana Grande,Positions,34+35,6Im9k8u9iIzKMrmV7BWtlF,2020,True,86,0.83,0.585,0,-6.476,1,0.094,0.0,0.248,0.485,109.978,173711,4
Tate McRae,you broke me first,you broke me first,45bE4HXI0AwGZXfZtMp8JR,2020,False,88,0.667,0.373,4,-9.389,1,0.05,0.0,0.0906,0.0823,124.148,169266,4
Sebastian Yatra,Pareja Del Año,Pareja Del Año,2rCbl9naJYhaxjLsfx88uM,2020,False,86,0.715,0.622,4,-5.102,0,0.046,0.0,0.0948,0.808,80.015,195053,4
