,Event_Name,Day,Setup,Pre-Event,Event_Start,Event_End,Post-Event,Takedown,Location,Formal_Name,Exp_Head_Count,Act. Head Count,Reservation Name,Reference #,Event Type,Organization,date,Location1
3487,Artist Paul Kleba of Personacards,2/9/2022,1:00 PM,1:00 PM,1:00 PM,7:00 PM,7:00 PM,7:00 PM,CC INDOOR TABLE (8),Campus Center - Indoor Table #8,1,,,2022-ABPCLH,Table Sitting,CAMPUS CENTER OFFICE,9/2/2022,CC
3514,Alpha Phi HWA Office Hours,2/9/2022,2:00 PM,2:00 PM,2:00 PM,4:00 PM,4:00 PM,4:00 PM,IS 1965 CONFERENCE ROOM,"IS 207, Innovation Studio - 1965 Conference Room",10,,,2022-ABPDFM,Student - Meeting,ALPHA PHI,9/2/2022,IS
3515,SAE Hot Chocolate,2/9/2022,2:00 PM,2:00 PM,2:00 PM,4:00 PM,4:00 PM,4:00 PM,CC INDOOR TABLE (3),Campus Center - Indoor Table #3,2,,,2022-ABPCTH,Student - Table Sitting,SIGMA ALPHA EPSILON,9/2/2022,CC
3516,Women's Rugby Study Hours,2/9/2022,2:00 PM,2:00 PM,2:00 PM,4:00 PM,4:00 PM,4:00 PM,UH 243,UH 243 - Nancy and Mike Abrams ’77 Multi-use Lounge and Creative Zone,15,,,2022-ABPBMM,Student - Study Session/Review,"RUGBY, WOMEN'S",9/2/2022,UH
3524,Beta Theta Pies,2/9/2022,2:00 PM,2:00 PM,2:00 PM,5:00 PM,5:00 PM,5:00 PM,CC INDOOR TABLE (1),Campus Center - Indoor Table #1,0,,,2022-ABPDJF,Student - Table Sitting,BETA THETA PI,9/2/2022,CC
3543,BCB Club Exec Meeting,2/9/2022,3:00 PM,3:00 PM,3:00 PM,4:00 PM,4:00 PM,4:00 PM,AK 232,Atwater Kent 232 - Classroom,8,,,2022-ABPBWX,Student - Meeting,BIOINFORMATICS - COMPUTATIONAL BIO CLUB,9/2/2022,AK
3549,SAS Programs Tribe,2/9/2022,3:00 PM,3:00 PM,3:00 PM,4:00 PM,4:00 PM,4:00 PM,SL 011,Salisbury Labs 011 - Classroom,20,,,2022-ABNXZT,Student - Meeting,STUDENT ALUMNI SOCIETY,9/2/2022,SL
3550,The Social Committee - AE 1-on-1,2/9/2022,3:00 PM,3:00 PM,3:00 PM,4:00 PM,4:00 PM,4:00 PM,CC PETERSON,Campus Center 304 - Peterson Conference Room,10,,,2022-ABNWKG,Student - Meeting,SOCCOMM,9/2/2022,CC
3551,VOX Exec Meeting,2/9/2022,3:00 PM,3:00 PM,3:00 PM,4:00 PM,4:00 PM,4:00 PM,CC MORGAN,Campus Center 208 - Morgan Conference Room,10,,,2022-ABNZGB,Student - Meeting,VOX,9/2/2022,CC
3567,ASA table sitting,2/9/2022,3:00 PM,3:00 PM,3:00 PM,5:00 PM,5:00 PM,5:00 PM,CC INDOOR TABLE (4),Campus Center - Indoor Table #4,2,,,2022-ABPDJS,Student - Table Sitting,AFRICAN STUDENT ASSOCIATION,9/2/2022,CC
3573,Practicum Seminar,2/9/2022,3:00 PM,3:00 PM,3:00 PM,5:00 PM,5:00 PM,5:00 PM,SL 305,Salisbury Labs 305 - Classroom,8,0,,2021-ABNVLZ,Seminar/Colloquium,STEM EDUCATION CENTER,9/2/2022,SL
3585,Active Minds GBM,2/9/2022,4:00 PM,4:00 PM,4:00 PM,5:00 PM,5:00 PM,5:00 PM,SL 011,Salisbury Labs 011 - Classroom,15,,,2022-ABNWCC,Student - Meeting,ACTIVE MINDS,9/2/2022,SL
3586,AXiD - Study Hours,2/9/2022,4:00 PM,4:00 PM,4:00 PM,5:00 PM,5:00 PM,5:00 PM,SL 402,Salisbury Labs 402 - Classroom,15,,,2021-ABNWAR,Student - Study Session/Review,ALPHA XI DELTA,9/2/2022,SL
3587,CBF Events Team Meeting,2/9/2022,4:00 PM,4:00 PM,4:00 PM,5:00 PM,5:00 PM,5:00 PM,CRC HOUSE - MULTIFAITH MEETING SPACE,Collegiate Religious Center House - Multifaith Meeting Space,6,,,2022-ABNXAC,Student - Meeting,CHRISTIAN BIBLE FELLOWSHIP,9/2/2022,CRC
3588,CBF Study,2/9/2022,4:00 PM,4:00 PM,4:00 PM,5:00 PM,5:00 PM,5:00 PM,CC MORGAN,Campus Center 208 - Morgan Conference Room,9,,,2022-ABNWZW,Student - Meeting,CHRISTIAN BIBLE FELLOWSHIP,9/2/2022,CC
3589,DEI Roundtables,2/9/2022,4:00 PM,4:00 PM,4:00 PM,5:00 PM,5:00 PM,5:00 PM,CC MID-CENTURY,Campus Center 331 - Mid-Century Room,20,,,2022-ABPDQZ,Student - Meeting,CHI OMEGA,9/2/2022,CC
3601,BCB Club Valentine's Day Social,2/9/2022,4:00 PM,4:00 PM,4:00 PM,6:00 PM,6:00 PM,6:00 PM,AK 219,Atwater Kent 219 - Classroom,25,,,2022-ABPDAQ,Student - Meeting,BIOINFORMATICS - COMPUTATIONAL BIO CLUB,9/2/2022,AK
3603,Women Empowerment Social Chi O X AXid,2/9/2022,4:00 PM,4:00 PM,4:00 PM,6:00 PM,6:00 PM,6:00 PM,IS 203,Innovation Studio 203,50,,,2022-ABNXLX,Student - Meeting,CHI OMEGA,9/2/2022,IS
3605,Health Services Presentation,2/9/2022,4:00 PM,4:00 PM,4:00 PM,7:00 PM,7:00 PM,7:00 PM,IS 205,Innovation Studio 205,25,0,,2022-ABNWGJ,Presentation,HEALTH SERVICES,9/2/2022,IS
3609,NSBE General Body Meeting,2/9/2022,4:30 PM,4:30 PM,4:30 PM,6:00 PM,6:00 PM,6:00 PM,UH 500,UH 500 - Unity Hall Classroom,40,,,2022-ABPCPZ,Student - Meeting,NATIONAL SOCIETY OF BLACK ENGINEERS,9/2/2022,UH
3612,Investing Association,2/9/2022,5:00 PM,5:00 PM,5:00 PM,5:50 PM,5:50 PM,5:50 PM,UH 405,UH 405 - Unity Hall Classroom,20,,,2022-ABNWNF,Student - Meeting,INVESTING ASSOCIATION,9/2/2022,UH
3614,AXiD Gift Nights,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,CC MID-CENTURY,Campus Center 331 - Mid-Century Room,4,,,2022-ABNZQM,Student - Meeting,ALPHA XI DELTA,9/2/2022,CC
3615,Chinese Corner Weekly Meeting,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,SL 407,Salisbury Labs 407 - Classroom,20,,,2022-ABNXMQ,Student - Meeting,CHINESE STUDENT ASSOCIATION,9/2/2022,SL
3616,Discrimination Discussion,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,OH 223,Olin Hall 223 - Classroom,6,,,2022-ABPCCM,Student - Meeting,HILLEL,9/2/2022,OH
3617,FITNESS CLUB: STRONG NATION HIIT,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RC DANCE,Sports and Recreation Center  428/430/433 - Dance Studio A/B/C Jointly,40,0,,2021-ABNSXQ,Athletic - Club Sport Practice,FITNESS CLUB,9/2/2022,RC
3618,FITNESS CLUB: STRONG NATION HIIT,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RC DANCE A,Sports and Recreation Center 428 - Dance Studio A,40,0,,2021-ABNSXQ,Athletic - Club Sport Practice,FITNESS CLUB,9/2/2022,RC
3619,FITNESS CLUB: STRONG NATION HIIT,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RC DANCE A-B,Sports and Recreation Center 428/430 - Dance Sudio A&B Jointly,40,0,,2021-ABNSXQ,Athletic - Club Sport Practice,FITNESS CLUB,9/2/2022,RC
3620,FITNESS CLUB: STRONG NATION HIIT,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RC DANCE B,Sports and Recreation Center 430 - Dance Sudio B,40,0,,2021-ABNSXQ,Athletic - Club Sport Practice,FITNESS CLUB,9/2/2022,RC
3621,FITNESS CLUB: STRONG NATION HIIT,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RC DANCE B-C,Sports and Recreation Center 430/433 - Dance Sudio B&C Jointly,40,0,,2021-ABNSXQ,Athletic - Club Sport Practice,FITNESS CLUB,9/2/2022,RC
3622,FITNESS CLUB: STRONG NATION HIIT,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RC DANCE C,Sports and Recreation Center 433 - Dance Studio C,40,0,,2021-ABNSXQ,Athletic - Club Sport Practice,FITNESS CLUB,9/2/2022,RC
3623,Fsae gbm,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,HL 202,Higgins Labs 202 - Classroom,25,,,2022-ABPCLG,Student - Meeting,SOCIETY OF AUTOMOTIVE ENG (SAE),9/2/2022,HL
3624,Linebacker meeting,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,FL BECKETT CONF RM,Fuller Labs - Beckett Conference Room,20,,,2022-ABPANR,Student - Study Session/Review,FOOTBALL,9/2/2022,FL
3625,LNL GBM,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,AK 233,Atwater Kent 233 - Classroom,40,,,2021-ABNVLG,Student - Meeting,LENS & LIGHTS,9/2/2022,AK
3626,SAS GB,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,SL 105,Salisbury Labs 105 - Classroom,50,,,2021-ABNVFM,Student - Meeting,STUDENT ALUMNI SOCIETY,9/2/2022,SL
3627,SAS General Body Meeting,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,UH 520,UH 520 - Unity Hall Classroom,75,,,2021-ABNWAD,Student - Meeting,STUDENT ALUMNI SOCIETY,9/2/2022,UH
3628,Theta Nu Xi Study Hours,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,HL 114,Higgins Labs 114 - Classroom,7,,,2022-ABNXPF,Student - Study Session/Review,THETA NU XI,9/2/2022,HL
3633,Data Science Club Meeting,2/9/2022,5:00 PM,5:00 PM,5:00 PM,6:30 PM,6:30 PM,6:30 PM,IS 105,Innovation Studio 105,20,,,2022-ABNWQB,Student - Meeting,STUDENT ACTIVITIES OFFICE,9/2/2022,IS
3637,ASCE Exec and GBM,2/9/2022,5:00 PM,5:00 PM,5:00 PM,7:00 PM,7:00 PM,7:00 PM,KH 116,Kaven Hall 116 - Classroom,30,,,2021-ABNTWR,Student - Meeting,AMER SOC OF CIVIL ENGINEERING,9/2/2022,KH
3638,ASCE Executive & General Body Meetings,2/9/2022,5:00 PM,5:00 PM,5:00 PM,7:00 PM,7:00 PM,7:00 PM,FL 311,Fuller Labs 311 - Classroom,30,,,2022-ABNWRA,Student - Meeting,AMER SOC OF CIVIL ENGINEERING,9/2/2022,FL
3639,NSBE Exec Meeting,2/9/2022,5:00 PM,5:00 PM,5:00 PM,7:00 PM,7:00 PM,7:00 PM,CC MORGAN,Campus Center 208 - Morgan Conference Room,16,,,2022-ABPCBQ,Student - Meeting,NATIONAL SOCIETY OF BLACK ENGINEERS,9/2/2022,CC
3640,PRACTICE: CHEERLEADING,2/9/2022,5:00 PM,5:00 PM,5:00 PM,7:00 PM,7:00 PM,7:00 PM,RC COURT 2,Sports and Recreation Center - Court 2,12,0,,2021-ABNVSX,Athletic - Club Sport Practice,CHEERLEADING TEAM,9/2/2022,RC
3641,PRACTICE: MENS LACROSSE,2/9/2022,5:00 PM,5:00 PM,5:00 PM,7:00 PM,7:00 PM,7:00 PM,RC COURT 3,Sports and Recreation Center - Court 3,,,,2022-ABPACA,Athletic - Club Sport Practice,"LACROSSE, MEN'S",9/2/2022,RC
3642,PRACTICE: MENS LACROSSE,2/9/2022,5:00 PM,5:00 PM,5:00 PM,7:00 PM,7:00 PM,7:00 PM,RC COURT 3-4,Sports and Recreation Center - Courtn 3 & 4 Jointly,,,,2022-ABPACA,Athletic - Club Sport Practice,"LACROSSE, MEN'S",9/2/2022,RC
3643,PRACTICE: MENS LACROSSE,2/9/2022,5:00 PM,5:00 PM,5:00 PM,7:00 PM,7:00 PM,7:00 PM,RC COURT 4,Sports and Recreation Center - Court 4,,,,2022-ABPACA,Athletic - Club Sport Practice,"LACROSSE, MEN'S",9/2/2022,RC
3644,PRACTICE: W. CLUB VOLLEYBALL,2/9/2022,5:00 PM,5:00 PM,5:00 PM,7:00 PM,7:00 PM,7:00 PM,RC COURT 1,Sports and Recreation Center - Court 1,30,0,,2021-ABNVSQ,Athletic - Club Sport Practice,VOLLEYBALL (WOMEN),9/2/2022,RC
3648,SGA Approp and Financial Board,2/9/2022,5:00 PM,5:00 PM,5:00 PM,8:00 PM,8:00 PM,8:00 PM,CC CHAIR'S,Campus Center 129 - Chair's Conference Room,14,0,,2022-ABPCBB,Student - Meeting,STUDENT GOVERNMENT ASSOCIATION (SGA),9/2/2022,CC
3649,SGA Financial Board,2/9/2022,5:00 PM,5:00 PM,5:00 PM,8:00 PM,8:00 PM,8:00 PM,WB 229,Washburn 229 - Classroom,19,,,2022-ABNWKV,Student - Meeting,STUDENT GOVERNMENT ASSOCIATION (SGA),9/2/2022,WB
3657,Basketball-W Contest (MIT),2/9/2022,5:30 PM,7:00 PM,7:00 PM,9:00 PM,9:00 PM,9:00 PM,HA 102,Harrington Auditorium - Main Floor,300,0,,2021-ABMWMN,Athletic - Contest,BASKETBALL (WOMEN),9/2/2022,HA
3658,Basketball-W Contest (MIT),2/9/2022,5:30 PM,7:00 PM,7:00 PM,9:00 PM,9:00 PM,9:00 PM,HA 115 ATHLETIC TEAM MTG RM,Harrington Auditorium - Athletic Team Meeting Room,300,0,,2021-ABMWMN,Athletic - Contest,BASKETBALL (WOMEN),9/2/2022,HA
3659,Panhel GBM,2/9/2022,5:45 PM,5:45 PM,6:00 PM,7:00 PM,7:00 PM,7:00 PM,FL PH-UPR,Fuller Labs - Perreault Hall - Upper Section,100,,,2022-ABNWPR,Student - Meeting,PANHELLENIC ASSOCIATION,9/2/2022,FL
3660,FiGSA Destress Event,2/9/2022,6:00 PM,6:00 PM,6:00 PM,7:00 PM,7:00 PM,7:00 PM,OASIS HOUSE - LOUNGE,Oasis House - Lounge,20,,,2022-ABPDCN,Student - Meeting,FIRST GENERATION STUDENT ASSOCIATION,9/2/2022,OASIS
3661,FiGSA's Destress Event,2/9/2022,6:00 PM,6:00 PM,6:00 PM,7:00 PM,7:00 PM,7:00 PM,OASIS HOUSE - KITCHEN,Oasis House - Kitchen,6,,,2022-ABPDCK,Student - Meeting,FIRST GENERATION STUDENT ASSOCIATION,9/2/2022,OASIS
3662,German Club,2/9/2022,6:00 PM,6:00 PM,6:00 PM,7:00 PM,7:00 PM,7:00 PM,HL 202,Higgins Labs 202 - Classroom,10,,,2022-ABNWQF,Student - Meeting,GERMAN CLUB,9/2/2022,HL
3663,InterVarsity Bible Study,2/9/2022,6:00 PM,6:00 PM,6:00 PM,7:00 PM,7:00 PM,7:00 PM,IS 203,Innovation Studio 203,20,,,2022-ABPCDG,Student - Meeting,INTERVARSITY CHRISTIAN FELLOWSHIP,9/2/2022,IS
