Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Uganda,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              3.27,1083,Kg
Hungary,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              3.09,63,Kg
Comoros,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              3.06,2074,Kg
"Congo, Rep.",Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              2.57,23.4,Kg
Armenia,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              2.43,232,Kg
Portugal,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              1.77,110,Kg
Dominican Republic,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              1.71,350,Kg
Mozambique,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              1.50,562,Kg
Turkey,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              1.15,661,Kg
United Arab Emirates,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              1.05,14.9,Kg
Kazakhstan,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              1.05,22001,Kg
Romania,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.94,86,Kg
Costa Rica,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.84,2,Kg
Eswatini,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.76,30,Kg
Burkina Faso,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.72,6000,Kg
Czech Republic,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.67,82.5764,Kg
South Africa,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.54,548.35,Kg
Yemen,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.52,475,Kg
Antigua and Barbuda,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.46,1000,Kg
Nigeria,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.40,2.06,Kg
Georgia,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.39,19,Kg
Honduras,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.28,97.25,Kg
Mali,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.16,120,Kg
Malta,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.12,2,Kg
Ghana,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.12,52,Kg
France,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.11,5,Kg
Bahrain,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.09,340,Kg
"Korea, Rep.",Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.08,30,Kg
Lesotho,Import,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2019, World,              0.03,2500,Kg
