Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Myanmar,Import,281122,Silicon dioxide,2019, World,           1233.07,1.0979e+006,Kg
Uzbekistan,Import,281122,Silicon dioxide,2019, World,           1191.64,672839,Kg
Jordan,Import,281122,Silicon dioxide,2019, World,           1076.06,485450,Kg
Latvia,Import,281122,Silicon dioxide,2019, World,           1066.46,666523,Kg
Uruguay,Import,281122,Silicon dioxide,2019, World,           1030.35,734966,Kg
Tunisia,Import,281122,Silicon dioxide,2019, World,            961.92,472353,Kg
Rwanda,Import,281122,Silicon dioxide,2019, World,            950.79,1.11805e+006,Kg
Nepal,Import,281122,Silicon dioxide,2019, World,            896.25,2.26104e+006,Kg
Bahrain,Import,281122,Silicon dioxide,2019, World,            719.56,3.17129e+006,Kg
Cote d'Ivoire,Import,281122,Silicon dioxide,2019, World,            684.55,400733,Kg
Lebanon,Import,281122,Silicon dioxide,2019, World,            682.26,567743,Kg
Ethiopia(excludes Eritrea),Import,281122,Silicon dioxide,2019, World,            646.27,338920,Kg
Bosnia and Herzegovina,Import,281122,Silicon dioxide,2019, World,            626.10,319389,Kg
Angola,Import,281122,Silicon dioxide,2019, World,            557.61,226824,Kg
Afghanistan,Import,281122,Silicon dioxide,2019, World,            555.92,2.24901e+006,Kg
Paraguay,Import,281122,Silicon dioxide,2019, World,            521.88,143938,Kg
Cyprus,Import,281122,Silicon dioxide,2019, World,            434.43,1.143e+006,Kg
El Salvador,Import,281122,Silicon dioxide,2019, World,            433.46,154951,Kg
Zimbabwe,Import,281122,Silicon dioxide,2019, World,            401.48,371189,Kg
"Congo, Dem. Rep.",Import,281122,Silicon dioxide,2019, World,            365.55,248316,Kg
Georgia,Import,281122,Silicon dioxide,2019, World,            309.01,469879,Kg
Uganda,Import,281122,Silicon dioxide,2019, World,            295.84,219809,Kg
Bolivia,Import,281122,Silicon dioxide,2019, World,            290.47,146124,Kg
Senegal,Import,281122,Silicon dioxide,2019, World,            289.55,199536,Kg
Honduras,Import,281122,Silicon dioxide,2019, World,            287.94,202969,Kg
Zambia,Import,281122,Silicon dioxide,2019, World,            266.12,115896,Kg
Ghana,Import,281122,Silicon dioxide,2019, World,            250.83,159520,Kg
Azerbaijan,Import,281122,Silicon dioxide,2019, World,            222.78,130096,Kg
Mauritius,Import,281122,Silicon dioxide,2019, World,            205.72,284207,Kg
Malta,Import,281122,Silicon dioxide,2019, World,            201.86,89659,Kg
Kyrgyz Republic,Import,281122,Silicon dioxide,2019, World,            192.54,144175,Kg
Namibia,Import,281122,Silicon dioxide,2019, World,            182.58,121432,Kg
Moldova,Import,281122,Silicon dioxide,2019, World,            180.56,93984,Kg
Brunei,Import,281122,Silicon dioxide,2019, World,            178.74,670045,Kg
North Macedonia,Import,281122,Silicon dioxide,2019, World,            157.03,50106.6,Kg
Mongolia,Import,281122,Silicon dioxide,2019, World,            155.19,48283.5,Kg
"Congo, Rep.",Import,281122,Silicon dioxide,2019, World,            137.34,115380,Kg
Armenia,Import,281122,Silicon dioxide,2019, World,            131.93,76479.9,Kg
Madagascar,Import,281122,Silicon dioxide,2019, World,            118.93,500068,Kg
Mozambique,Import,281122,Silicon dioxide,2019, World,            118.78,35641,Kg
Iceland,Import,281122,Silicon dioxide,2019, World,             69.45,11300.7,Kg
Occ.Pal.Terr,Import,281122,Silicon dioxide,2019, World,             68.79,43248,Kg
Eswatini,Import,281122,Silicon dioxide,2019, World,             53.87,34208.7,Kg
Togo,Import,281122,Silicon dioxide,2019, World,             53.43,15,Kg
Botswana,Import,281122,Silicon dioxide,2019, World,             41.36,31437,Kg
Nicaragua,Import,281122,Silicon dioxide,2019, World,             39.60,12291.3,Kg
Burundi,Import,281122,Silicon dioxide,2019, World,             39.12,28868,Kg
Lesotho,Import,281122,Silicon dioxide,2019, World,             36.49,28554,Kg
Barbados,Import,281122,Silicon dioxide,2019, World,             34.42,8555,Kg
Tajikistan,Import,281122,Silicon dioxide,2019, World,             29.98,47939,Kg
Montenegro,Import,281122,Silicon dioxide,2019, World,             29.20,12556.3,Kg
French Polynesia,Import,281122,Silicon dioxide,2019, World,             28.93,7994.66,Kg
Malawi,Import,281122,Silicon dioxide,2019, World,             27.62,19559,Kg
Benin,Import,281122,Silicon dioxide,2019, World,             25.04,10089,Kg
Lao PDR,Import,281122,Silicon dioxide,2019, World,             19.06,2700.5,Kg
St. Lucia,Import,281122,Silicon dioxide,2019, World,             17.14,5011.96,Kg
